blocks,threads,run_id,time_ms
1,128,33,27.8119
1,128,34,27.6081
1,128,35,27.6654
1,128,36,27.7996
1,128,37,27.778
1,128,38,27.6163
1,128,39,27.6613
1,128,40,27.6521
1,128,41,27.6152
1,128,42,28.2972
1,128,43,27.9276
1,128,44,27.6859
1,128,45,27.7012
1,128,46,27.7094
1,128,47,27.6623
1,128,48,27.5907
1,128,49,27.648
1,128,50,27.6439
1,128,51,27.8569
1,128,52,27.5968
1,128,53,27.6009
1,128,54,27.6142
1,128,55,27.8129
1,128,56,27.5825
1,128,57,27.6961
1,128,58,27.5866
1,128,59,27.6101
1,128,60,27.7012
1,128,61,27.5937
1,128,62,27.6337
1,128,63,28.0351
1,128,64,28.0986
1,128,65,27.6101
1,128,66,27.5814
1,128,67,27.7238
1,128,68,27.6296
1,128,69,27.6767
1,128,70,27.6122
1,128,71,27.649
1,128,72,28.0975
1,128,73,28.0474
1,128,74,27.8508
1,128,75,27.6285
1,128,76,27.6234
1,128,77,27.6275
1,128,78,27.5978
1,128,79,27.6285
1,128,80,28.6475
1,128,81,28.0658
1,128,82,27.6368
1,128,83,27.6767
1,128,84,27.6028
1,128,85,28.0115
1,128,86,27.6705
1,128,87,27.8006
1,128,88,27.6798
1,128,89,28.1313
1,128,90,29.6151
1,128,91,27.692
1,128,92,28.6116
1,128,93,27.7883
1,128,94,27.9163
1,128,95,29.1308
1,128,96,27.6797
1,128,97,27.649
1,128,98,27.7729
1,128,99,27.8149
1,256,0,15.0943
1,256,1,21.0954
1,256,2,21.93
1,256,3,13.8762
1,256,4,14.0104
1,256,5,13.9561
1,256,6,14.2275
1,256,7,14.7476
1,256,8,13.9592
1,256,9,13.9387
1,256,10,13.8516
1,256,11,15.191
1,256,12,13.9643
1,256,13,13.9745
1,256,14,13.8557
1,256,15,13.8271
1,256,16,13.7646
1,256,17,13.781
1,256,18,13.7421
1,256,19,14.0104
1,256,20,13.8353
1,256,21,13.8056
1,256,22,13.825
1,256,23,13.7851
1,256,24,13.8967
1,256,25,13.9868
1,256,26,13.8927
1,256,27,13.7912
1,256,28,14.0585
1,256,29,13.8199
1,256,30,13.9407
1,256,31,13.952
1,256,32,13.7728
1,256,33,13.7861
1,256,34,13.7759
1,256,35,13.7841
1,256,36,13.7492
1,256,37,13.7441
1,256,38,14.0677
1,256,39,13.8547
1,256,40,13.8711
1,256,41,13.7933
1,256,42,14.0564
1,256,43,14.08
1,256,44,13.9295
1,256,45,13.7892
1,256,46,13.8527
1,256,47,13.8097
1,256,48,13.8056
1,256,49,13.8086
1,256,50,14.2162
1,256,51,14.0063
1,256,52,13.8947
1,256,53,13.7769
1,256,54,13.7861
1,256,55,13.7943
1,256,56,13.7646
1,256,57,14.2193
1,256,58,13.7738
1,256,59,13.7738
1,256,60,13.8537
1,256,61,14.08
1,256,62,14.165
1,256,63,13.8138
1,256,64,14.0196
1,256,65,15.0354
1,256,66,15.5341
1,256,67,13.9008
1,256,68,13.7769
1,256,69,13.7974
1,256,70,14.0421
1,256,71,13.9182
1,256,72,13.9213
1,256,73,13.9951
1,256,74,13.9008
1,256,75,13.908
1,256,76,13.8834
1,256,77,13.8526
1,256,78,14.1066
1,256,79,13.954
1,256,80,13.8138
1,256,81,14.0073
1,256,82,13.8741
1,256,83,13.9346
1,256,84,13.8557
1,256,85,13.7892
1,256,86,13.7933
1,256,87,16.172
1,256,88,14.0739
1,256,89,16.8592
1,256,90,13.9387
1,256,91,13.8476
1,256,92,25.4024
1,256,93,16.2857
1,256,94,15.9795
1,256,95,15.2873
1,256,96,15.8382
1,256,97,15.9887
1,256,98,16.0922
1,256,99,18.6941
1,32,0,116.782
1,32,1,120.26
1,32,2,116.744
